Data in US Dollars;;;;;
;2022;Q1 2022;Q2 2022;Q3 2022;Q4 2022
Foreign currency;470.358,00;462.910,00;445.351,00;418.184,00;470.358,00
U.S. dollar;;;;;
Euro;187.332,00;147.962,00;160.743,00;150.500,00;187.332,00
Yen;103.890,00;98.183,00;91.945,00;93.305,00;103.890,00
Other currencies;179.136,00;216.765,00;192.663,00;174.379,00;179.136,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.645.411,00;1.595.051,00;1.588.293,00;1.602.271,00;1.645.411,00
Domestic currency;1.363.118,00;1.325.522,00;1.337.232,00;1.363.870,00;1.363.118,00
Foreign currency;282.293,00;269.529,00;251.061,00;238.401,00;282.293,00
U.S. dollar;;;;;
Euro;114.476,00;86.539,00;92.781,00;86.830,00;114.476,00
Yen;63.421,00;58.097,00;51.865,00;54.301,00;63.421,00
Other currencies;104.396,00;124.894,00;106.415,00;97.270,00;104.396,00
Unallocated;0,00;0,00;0,00;0,00;0,00
General Government;;;;;
Total;30.931,00;30.925,00;30.987,00;30.623,00;30.931,00
Domestic currency;30.033,00;30.036,00;30.055,00;29.696,00;30.033,00
Foreign currency;898,00;889,00;932,00;927,00;898,00
U.S. dollar;;;;;
Euro;112,00;67,00;61,00;56,00;112,00
Yen;27,00;196,00;71,00;50,00;27,00
Other currencies;760,00;626,00;800,00;821,00;760,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;0,00;0,00;0,00;0,00;0,00
Domestic currency;0,00;0,00;0,00;0,00;0,00
Foreign currency;0,00;0,00;0,00;0,00;0,00
U.S. dollar;;;;;
Euro;0,00;0,00;0,00;0,00;0,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;0,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- Total;;;;;
Total;6.100.541,00;6.566.123,00;6.271.068,00;6.107.809,00;6.100.541,00
Domestic currency;4.755.494,00;5.166.837,00;4.947.841,00;4.786.122,00;4.755.494,00
Foreign currency;1.345.047,00;1.399.286,00;1.323.227,00;1.321.687,00;1.345.047,00
U.S. dollar;;;;;
Euro;624.646,00;619.945,00;602.852,00;617.675,00;624.646,00
Yen;193.424,00;176.054,00;167.363,00;172.581,00;193.424,00
Other currencies;526.976,00;603.286,00;553.013,00;531.431,00;526.976,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;2.971.691,00;3.131.431,00;3.094.159,00;3.042.655,00;2.971.691,00
Domestic currency;2.235.960,00;2.415.625,00;2.405.862,00;2.327.044,00;2.235.960,00
Foreign currency;735.731,00;715.805,00;688.297,00;715.610,00;735.731,00
U.S. dollar;;;;;
Euro;360.881,00;343.474,00;337.933,00;359.597,00;360.881,00
Yen;128.239,00;105.510,00;102.171,00;109.193,00;128.239,00
Other currencies;246.611,00;266.822,00;248.193,00;246.820,00;246.611,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- OFC;;;;;
Total;4.408.249,00;4.849.773,00;4.555.297,00;4.421.602,00;4.408.249,00
Domestic currency;3.545.477,00;3.920.944,00;3.695.583,00;3.575.450,00;3.545.477,00
Foreign currency;862.772,00;928.829,00;859.714,00;846.152,00;862.772,00
U.S. dollar;;;;;
Euro;348.161,00;352.186,00;337.193,00;333.377,00;348.161,00
Yen;140.810,00;135.184,00;123.335,00;127.647,00;140.810,00
Other currencies;373.801,00;441.459,00;399.186,00;385.129,00;373.801,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.714.221,00;1.868.917,00;1.822.567,00;1.787.566,00;1.714.221,00
Domestic currency;1.413.266,00;1.572.779,00;1.544.801,00;1.496.061,00;1.413.266,00
Foreign currency;300.955,00;296.138,00;277.766,00;291.504,00;300.955,00
U.S. dollar;;;;;
Euro;99.167,00;91.618,00;90.497,00;93.211,00;99.167,00
Yen;85.484,00;74.007,00;67.743,00;73.804,00;85.484,00
Other currencies;116.305,00;130.513,00;119.526,00;124.490,00;116.305,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- Other;;;;;
Total;1.692.292,00;1.716.349,00;1.715.771,00;1.686.207,00;1.692.292,00
Domestic currency;1.210.017,00;1.245.893,00;1.252.258,00;1.210.673,00;1.210.017,00
Foreign currency;482.275,00;470.456,00;463.513,00;475.534,00;482.275,00
U.S. dollar;;;;;
Euro;276.486,00;267.760,00;265.658,00;284.298,00;276.486,00
Yen;52.614,00;40.870,00;44.028,00;44.934,00;52.614,00
Other currencies;153.176,00;161.827,00;153.826,00;146.303,00;153.176,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.257.470,00;1.262.514,00;1.271.592,00;1.255.089,00;1.257.470,00
Domestic currency;822.694,00;842.846,00;861.061,00;830.983,00;822.694,00
Foreign currency;434.776,00;419.667,00;410.531,00;424.106,00;434.776,00
U.S. dollar;;;;;
Euro;261.714,00;251.855,00;247.436,00;266.386,00;261.714,00
Yen;42.755,00;31.504,00;34.428,00;35.390,00;42.755,00
Other currencies;130.307,00;136.308,00;128.667,00;122.330,00;130.307,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Inter-company lending;;;;;
Total;1.207.554,00;1.203.000,00;1.220.734,00;1.178.533,00;1.207.554,00
Domestic currency;1.048.365,00;1.055.131,00;1.064.967,00;1.041.947,00;1.048.365,00
Foreign currency;159.189,00;147.870,00;155.766,00;136.586,00;159.189,00
U.S. dollar;;;;;
Euro;69.980,00;55.951,00;61.249,00;54.567,00;69.980,00
Yen;2.672,00;3.009,00;3.031,00;2.525,00;2.672,00
Other currencies;86.536,00;88.910,00;91.486,00;79.494,00;86.536,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Total;;;;;
Total;9.894.461,00;10.306.192,00;10.057.727,00;9.827.102,00;9.894.461,00
Domestic currency;7.918.557,00;8.294.872,00;8.132.104,00;7.949.419,00;7.918.557,00
Foreign currency;1.975.904,00;2.011.320,00;1.925.623,00;1.877.683,00;1.975.904,00
U.S. dollar;;;;;
Euro;882.482,00;824.291,00;825.251,00;823.073,00;882.482,00
Yen;300.013,00;277.442,00;262.410,00;268.461,00;300.013,00
Other currencies;793.409,00;909.588,00;837.962,00;786.149,00;793.409,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;4.617.515,00;4.726.847,00;4.682.798,00;4.645.225,00;4.617.515,00
Domestic currency;3.599.078,00;3.741.147,00;3.743.094,00;3.690.914,00;3.599.078,00
Foreign currency;1.018.437,00;985.700,00;939.705,00;954.311,00;1.018.437,00
U.S. dollar;;;;;
Euro;475.769,00;430.378,00;431.061,00;446.702,00;475.769,00
Yen;191.660,00;163.607,00;154.035,00;163.494,00;191.660,00
Other currencies;351.008,00;391.715,00;354.608,00;344.115,00;351.008,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Reserve assets;;;;;
In SDR basket;706.914,00;744.988,00;702.624,00;656.202,00;706.914,00
Not in SDR basket;0,00;0,00;0,00;0,00;0,00
Currency Composition of Foreign Currency Derivatives by Sector:;;;;;
Notional Value of Contracts with Nonresidents;;;;;
Memorandum Items;;;;;
Table A9-I.1b;;;;;
Central bank;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Deposit-taking corporations, except the central bank;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
General Government;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Total;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- OFC;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Other;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Total;;;;;
Receive foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Currency Composition of Debt Liabilities to Nonresidents by sector;;;;;
Memorandum Items;;;;;
Table A9-I.2a;;;;;
Central bank;;;;;
Total;1.374.994,00;1.269.107,00;1.290.937,00;1.317.406,00;1.374.994,00
Domestic Currency;1.374.994,00;1.269.107,00;1.290.937,00;1.317.406,00;1.374.994,00
Foreign currency;0,00;0,00;0,00;0,00;0,00
U.S. dollar;;;;;
Euro;0,00;0,00;0,00;0,00;0,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;0,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.374.994,00;1.269.107,00;1.290.937,00;1.317.406,00;1.374.994,00
Domestic currency;1.374.994,00;1.269.107,00;1.290.937,00;1.317.406,00;1.374.994,00
Foreign currency;0,00;0,00;0,00;0,00;0,00
U.S. dollar;;;;;
Euro;0,00;0,00;0,00;0,00;0,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;0,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Deposit-taking corporations, except the central bank;;;;;
Total;3.319.589,00;3.354.691,00;3.302.177,00;3.362.376,00;3.319.589,00
Domestic Currency;3.082.108,00;3.136.416,00;3.078.346,00;3.138.362,00;3.082.108,00
Foreign currency;237.481,00;218.275,00;223.831,00;224.015,00;237.481,00
U.S. dollar;;;;;
Euro;116.912,00;95.754,00;106.560,00;104.047,00;116.912,00
Yen;51.122,00;44.779,00;47.078,00;42.687,00;51.122,00
Other currencies;69.447,00;77.742,00;70.193,00;77.281,00;69.447,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;2.715.628,00;2.758.880,00;2.705.393,00;2.755.647,00;2.715.628,00
Domestic currency;2.556.104,00;2.621.035,00;2.564.146,00;2.613.504,00;2.556.104,00
Foreign currency;159.524,00;137.845,00;141.247,00;142.144,00;159.524,00
U.S. dollar;;;;;
Euro;70.117,00;48.924,00;55.817,00;54.251,00;70.117,00
Yen;42.821,00;38.196,00;39.862,00;35.992,00;42.821,00
Other currencies;46.586,00;50.725,00;45.569,00;51.901,00;46.586,00
Unallocated;0,00;0,00;0,00;0,00;0,00
General Government;;;;;
Total;7.694.217,00;8.018.394,00;7.819.705,00;7.646.287,00;7.694.217,00
Domestic Currency;7.541.165,00;7.859.405,00;7.666.930,00;7.499.056,00;7.541.165,00
Foreign currency;153.052,00;158.989,00;152.775,00;147.232,00;153.052,00
U.S. dollar;;;;;
Euro;0,00;0,00;0,00;0,00;0,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;153.052,00;158.989,00;152.775,00;147.232,00;153.052,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;949.988,00;1.008.398,00;895.437,00;919.610,00;949.988,00
Domestic currency;949.988,00;1.008.398,00;895.437,00;919.610,00;949.988,00
Foreign currency;0,00;0,00;0,00;0,00;0,00
U.S. dollar;;;;;
Euro;0,00;0,00;0,00;0,00;0,00
Yen;0,00;0,00;0,00;0,00;0,00
Other currencies;0,00;0,00;0,00;0,00;0,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- Total;;;;;
Total;8.479.394,00;8.910.140,00;8.534.474,00;8.347.557,00;8.479.394,00
Domestic Currency;7.292.376,00;7.683.693,00;7.391.177,00;7.237.106,00;7.292.376,00
Foreign currency;1.187.018,00;1.226.447,00;1.143.297,00;1.110.451,00;1.187.018,00
U.S. dollar;;;;;
Euro;773.134,00;801.115,00;745.986,00;711.401,00;773.134,00
Yen;85.474,00;68.096,00;67.179,00;70.132,00;85.474,00
Other currencies;328.410,00;357.236,00;330.132,00;328.918,00;328.410,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;3.311.291,00;3.351.301,00;3.411.527,00;3.429.195,00;3.311.291,00
Domestic currency;2.850.218,00;2.920.026,00;2.980.808,00;3.003.357,00;2.850.218,00
Foreign currency;461.073,00;431.275,00;430.719,00;425.838,00;461.073,00
U.S. dollar;;;;;
Euro;271.959,00;244.676,00;250.981,00;238.036,00;271.959,00
Yen;43.790,00;28.206,00;29.920,00;33.001,00;43.790,00
Other currencies;145.323,00;158.393,00;149.817,00;154.801,00;145.323,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- OFC;;;;;
Total;4.432.573,00;4.561.120,00;4.426.731,00;4.334.594,00;4.432.573,00
Domestic Currency;3.927.563,00;4.039.619,00;3.934.580,00;3.846.416,00;3.927.563,00
Foreign currency;505.010,00;521.501,00;492.150,00;488.178,00;505.010,00
U.S. dollar;;;;;
Euro;274.147,00;283.261,00;269.981,00;259.927,00;274.147,00
Yen;55.325,00;50.438,00;46.725,00;47.839,00;55.325,00
Other currencies;175.538,00;187.802,00;175.444,00;180.412,00;175.538,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.735.377,00;1.806.708,00;1.805.468,00;1.798.301,00;1.735.377,00
Domestic currency;1.565.570,00;1.639.816,00;1.641.674,00;1.627.574,00;1.565.570,00
Foreign currency;169.807,00;166.892,00;163.794,00;170.727,00;169.807,00
U.S. dollar;;;;;
Euro;73.780,00;65.262,00;69.051,00;68.418,00;73.780,00
Yen;23.515,00;19.757,00;18.022,00;19.074,00;23.515,00
Other currencies;72.513,00;81.873,00;76.721,00;83.236,00;72.513,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Other sectors- Other;;;;;
Total;4.046.821,00;4.349.020,00;4.107.743,00;4.012.963,00;4.046.821,00
Domestic Currency;3.364.813,00;3.644.074,00;3.456.596,00;3.390.690,00;3.364.813,00
Foreign currency;682.008,00;704.946,00;651.147,00;622.273,00;682.008,00
U.S. dollar;;;;;
Euro;498.987,00;517.854,00;476.004,00;451.474,00;498.987,00
Yen;30.149,00;17.658,00;20.454,00;22.293,00;30.149,00
Other currencies;152.872,00;169.435,00;154.689,00;148.506,00;152.872,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;1.575.914,00;1.544.593,00;1.606.059,00;1.630.894,00;1.575.914,00
Domestic currency;1.284.648,00;1.280.210,00;1.339.134,00;1.375.783,00;1.284.648,00
Foreign currency;291.266,00;264.383,00;266.925,00;255.111,00;291.266,00
U.S. dollar;;;;;
Euro;198.179,00;179.414,00;181.930,00;169.618,00;198.179,00
Yen;20.275,00;8.449,00;11.898,00;13.927,00;20.275,00
Other currencies;72.811,00;76.520,00;73.097,00;71.566,00;72.811,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Inter-company lending;;;;;
Total;1.768.264,00;1.731.305,00;1.709.686,00;1.755.890,00;1.768.264,00
Domestic Currency;1.670.102,00;1.630.287,00;1.607.770,00;1.664.351,00;1.670.102,00
Foreign currency;98.162,00;101.018,00;101.916,00;91.539,00;98.162,00
U.S. dollar;;;;;
Euro;39.761,00;38.955,00;39.414,00;40.349,00;39.761,00
Yen;12.402,00;11.978,00;12.629,00;10.715,00;12.402,00
Other currencies;45.999,00;50.085,00;49.874,00;40.475,00;45.999,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;;;;;
Domestic currency;;;;;
Foreign currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Unallocated;;;;;
Total;;;;;
Total;22.636.458,00;23.283.637,00;22.656.978,00;22.429.517,00;22.636.458,00
Domestic Currency;20.960.745,00;21.578.909,00;21.035.159,00;20.856.280,00;20.960.745,00
Foreign currency;1.675.712,00;1.704.728,00;1.621.819,00;1.573.236,00;1.675.712,00
U.S. dollar;;;;;
Euro;929.807,00;935.824,00;891.959,00;855.797,00;929.807,00
Yen;148.999,00;124.853,00;126.886,00;123.534,00;148.999,00
Other currencies;596.907,00;644.052,00;602.974,00;593.905,00;596.907,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Of which one year or less;8.351.901,00;8.387.687,00;8.303.294,00;8.421.859,00;8.351.901,00
Domestic currency;7.731.304,00;7.818.566,00;7.731.328,00;7.853.877,00;7.731.304,00
Foreign currency;620.597,00;569.120,00;571.966,00;567.981,00;620.597,00
U.S. dollar;;;;;
Euro;342.076,00;293.601,00;306.798,00;292.286,00;342.076,00
Yen;86.611,00;66.402,00;69.782,00;68.993,00;86.611,00
Other currencies;191.910,00;209.117,00;195.386,00;206.702,00;191.910,00
Unallocated;0,00;0,00;0,00;0,00;0,00
Currency Composition of Foreign Currency Derivatives by Sector:;;;;;
Notional Value of Contracts with Nonresidents;;;;;
Memorandum Items;;;;;
Table A9-I.2b;;;;;
Central bank;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Deposit-taking corporations, except the central bank;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
General Government;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Total;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- OFC;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Other sectors- Other;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Total;;;;;
Pay foreign currency, by currency;;;;;
U.S. dollar;;;;;
Euro;;;;;
Yen;;;;;
Other currencies;;;;;
Reserve Related Liabilities: Position Data;;;;;
Memorandum Items;;;;;
Table A9-V;;;;;
Reserve-related liabilities (RRL) to nonresidents;;;;;
Short-term;;;;;
Credit and loans from the IMF;;;;;
Debt securities;;;;;
Deposits;;;;;
Loans;;;;;
Repo loans;;;;;
Other loans;;;;;
Other short-term foreign currency liabilities to nonresidents;;;;;
